ts,ta,tg,tc
1652056656.0746179, 0.8395047990274402, 0.06533959550446584, 0.08082289957492533
1652056656.095063, 0.9213120173668764, 0.06615187527620914, 0.08325507811802249
1652056656.108788, 0.6475751973706124, 0.06687266722105083, 0.07848671782404205
1652056656.125692, 0.8299604763168503, 0.06796020809633696, 0.08320021346074723
1652056656.142537, 0.9804940669732675, 0.08797872544377247, 0.10582903227436237
1652056656.159505, 0.9439595230400478, 0.10402302705226896, 0.12082175697202453
1652056656.17661, 1.022656659488802, 0.1495981874487835, 0.16705935688958387
1652056656.1934319, 0.744345432845614, 0.07315428385136594, 0.08657810683125089
1652056656.210088, 0.836079827760945, 0.04253098689968745, 0.0584019637169126
1652056656.226768, 0.9709077217221053, 0.06729139994533118, 0.08536372638086667
1652056656.242619, 0.8060263879024261, 0.09216479736993863, 0.10644202918058837
1652056656.260525, 1.008228711318114, 0.08567123779131096, 0.10412238726184701
1652056656.276904, 0.8618182596589218, 0.087450124679019, 0.10293748737861705
1652056656.294348, 0.8319616284125609, 0.09496490580842519, 0.10970484026050792
1652056656.310483, 0.8525732683036604, 0.09992136500200056, 0.11497440306803375
1652056656.326865, 0.6916523295028448, 0.10198483897724218, 0.11377818878775424
1652056656.343246, 0.9774111742123535, 0.10483382591926646, 0.1222853728851282
1652056656.360295, 0.9530221515879551, 0.10511528611944, 0.12207342342881031
1652056656.377161, 0.896332121017665, 0.10788343580191154, 0.12365240950622661
1652056656.394208, 0.896332121017665, 0.11208495059194008, 0.12776989400045458
1652056656.41081, 0.947326265128679, 0.11531570141827417, 0.13195591269248227
1652056656.427106, 0.8349658324837381, 0.1155983209889949, 0.12998567121888976
1652056656.443738, 0.9101040990467911, 0.1193513467778132, 0.13516640182319276
1652056656.460969, 0.9915852784332694, 0.12304427768463388, 0.14041509769960658
1652056656.476766, 0.7858685594215417, 0.1262532821663657, 0.1394455877114692
1652056656.49339, 0.9352991895227645, 0.13052105762572327, 0.1466166202636641
1652056656.509922, 0.7272347260106545, 0.13634780810772845, 0.14816554646578697
1652056656.526887, 0.8877044184267854, 0.1395669163031793, 0.1545296663456514
1652056656.5435472, 0.9456527942355084, 0.14264888860738142, 0.15870896671994397
1652056656.560487, 0.8818731119022148, 0.14514819490720526, 0.15988269324710547
1652056656.577254, 0.9922158881038762, 0.1476478701105251, 0.16453923047039212
1652056656.594318, 0.7808815086048128, 0.15292390241255735, 0.16548305453640244
1652056656.6108599, 0.8346554495593592, 0.15510209530478808, 0.16869316238987953
1652056656.627917, 0.8578760594663708, 0.1579289976652051, 0.17192793890122843
1652056656.6440248, 0.7948013624376591, 0.16310835277858338, 0.1757422129717649
1652056656.661341, 1.0142360395450032, 0.1671752885865729, 0.18411650360574153
1652056656.677349, 0.8756484737709261, 0.17048216071754968, 0.1845854869786172
1652056656.694073, 0.8672821163968142, 0.17446238251266305, 0.18831877719034606
1652056656.710041, 0.7886551333206258, 0.1789281379541562, 0.1911226778614856
1652056656.727833, 0.7050589190504818, 0.181952863011314, 0.19241498413209734
1652056656.744273, 0.9358715326726488, 0.18370675433616332, 0.19875004990289302
1652056656.76059, 0.839980694492716, 0.18619201599328142, 0.1992677895632701
1652056656.777089, 0.9567844714617156, 0.19065343262557335, 0.2059760534022962
1652056656.794209, 0.9329012332051078, 0.19345184784522354, 0.20824083555242123
1652056656.810759, 0.7157480395803246, 0.1971699430750054, 0.2075415050051118
1652056656.827931, 0.9026672732990104, 0.19864649790369263, 0.21272691341159897
1652056656.844366, 0.7502984146800299, 0.20143646957791272, 0.21241370847995505
1652056656.8612819, 0.9459985283429881, 0.20821765579573964, 0.22297327324668462
1652056656.87732, 0.8726200601486067, 0.21408688950038904, 0.2272575529133534
1652056656.894275, 0.913854870087628, 0.21646102412166027, 0.23040890104097964
1652056656.9079409, 0.913854870087628, 0.218696242460106, 0.23259941501265644
1652056656.924605, 0.7560087266506195, 0.22468203801252515, 0.23530857178528705
1652056656.9412699, 0.8689304877653965, 0.2302710942402121, 0.24304428211071577
1652056656.9579449, 0.881411025899758, 0.23276192082185604, 0.2457349029234141
1652056656.974597, 0.881411025899758, 0.23733204780039407, 0.25021362736238134
1652056656.991307, 0.8482791423084152, 0.24192640213983105, 0.2540534569432027
1652056657.0080628, 0.8495009446919219, 0.2498829650465146, 0.26187532463942276
1652056657.0249481, 0.8405023661042117, 0.25132186170764564, 0.263105471795577
1652056657.042224, 0.8005806451732299, 0.25336167564617323, 0.2643060550367144
1652056657.059321, 1.0062341201268268, 0.25764574813268587, 0.27261751557256864
1652056657.076891, 0.8268361706417703, 0.26177371626216595, 0.273074965349758
1652056657.093925, 0.9137850864363449, 0.2659084863064586, 0.2788660183090563
1652056657.109349, 0.864322745442351, 0.27043618744911035, 0.28231391860897515
1652056657.126824, 0.7893565183909164, 0.2747740253332064, 0.28506567519436055
1652056657.143717, 0.9159626452670191, 0.27824766215560665, 0.2910019618178349
1652056657.1601439, 0.8167016923951285, 0.28146583605060715, 0.29217055317749757
1652056657.177147, 0.9714108342289417, 0.28391148088212664, 0.29766146794906295
1652056657.193255, 0.8831014308443815, 0.2860801526271693, 0.29802057819151356
1652056657.209732, 0.8571208702825892, 0.2873429232771359, 0.29873848221724497
1652056657.227147, 0.8699578816816589, 0.2910559967804516, 0.30263403447847576
1652056657.243278, 0.775208355794186, 0.2960365301046086, 0.30561996661840013
1652056657.259774, 0.8665155520769529, 0.2987581866164439, 0.31011333392565404
1652056657.277338, 0.8793957194383679, 0.3032518758270505, 0.3147747526992768
