ts,x,y,z
1651518308.063981, -66.16142272949219, 46.746917724609375, -164.64718627929688
1651518308.0802832, -65.581787109375, 46.72624206542969, -164.91563415527344
1651518308.096908, -65.84748840332031, 46.630950927734375, -164.7566680908203
1651518308.11359, -65.84748840332031, 46.630950927734375, -164.7566680908203
1651518308.1302462, -65.97988891601562, 46.90007019042969, -165.05552673339844
1651518308.1469579, -66.02923583984375, 46.50311279296875, -164.25758361816406
1651518308.163619, -66.07546997070312, 46.58503723144531, -164.6950225830078
1651518308.1803079, -65.9744873046875, 46.41731262207031, -164.7238311767578
1651518308.1969209, -65.88226318359375, 46.69886779785156, -164.56666564941406
1651518308.213564, -65.88226318359375, 46.69886779785156, -164.56666564941406
1651518308.230277, -66.22285461425781, 46.36561584472656, -164.4584503173828
1651518308.246945, -66.07879638671875, 46.35545349121094, -164.47630310058594
1651518308.26356, -65.89768981933594, 46.60417175292969, -164.99403381347656
1651518308.280221, -66.09709167480469, 46.58705139160156, -164.6333465576172
1651518308.2969332, -66.14447021484375, 46.66416931152344, -164.8931121826172
1651518308.3135529, -66.14447021484375, 46.66416931152344, -164.8931121826172
1651518308.3303099, -66.097412109375, 46.369873046875, -164.92578125
1651518308.34694, -66.26287841796875, 46.86473083496094, -165.37843322753906
1651518308.3636022, -65.63386535644531, 46.50048828125, -164.9255828857422
1651518308.380268, -66.08341979980469, 46.68711853027344, -164.50494384765625
1651518308.396926, -65.72169494628906, 46.43040466308594, -164.82827758789062
1651518308.413594, -65.72169494628906, 46.43040466308594, -164.82827758789062
1651518308.430265, -65.7802734375, 46.400970458984375, -164.70529174804688
1651518308.446926, -66.01380920410156, 46.59715270996094, -165.32174682617188
1651518308.463592, -66.28311157226562, 46.99818420410156, -164.66993713378906
1651518308.480232, -66.267822265625, 46.82438659667969, -164.69088745117188
1651518308.497089, -65.95573425292969, 46.27787780761719, -164.71383666992188
1651518308.5135431, -65.95573425292969, 46.27787780761719, -164.71383666992188
1651518308.5303168, -65.71995544433594, 46.74598693847656, -164.99658203125
1651518308.5468888, -66.15370178222656, 46.502838134765625, -164.9122314453125
