ts,ta,tg,tc
1652072090.338601, 0.7349775617646697, 0.007617683053761079, 0.014647496634414637
1652072090.356268, 0.7327938168570509, 0.011975141988462338, 0.029577090561361822
1652072090.371892, 0.7184032243665999, 0.01557155409785615, 0.042361473478513385
1652072090.388536, 0.7293802843944426, 0.019236837657319057, 0.0550283649241399
1652072090.405222, 0.7516601820075015, 0.021783734427539128, 0.0678422683345569
1652072090.421891, 0.6928482683078312, 0.023417286656533892, 0.07928805009019815
1652072090.4385672, 0.7315611632100762, 0.025827449679977067, 0.09220484611878037
1652072090.45525, 0.7466936200363572, 0.0303849334879901, 0.10539852907497105
1652072090.472515, 0.7508330551062107, 0.034780864675482755, 0.1216673400961433
1652072090.488593, 0.741608585365375, 0.03920658735042846, 0.13474311791011614
1652072090.5052571, 0.7297755797976646, 0.043622577931177, 0.14841292598764447
1652072090.521992, 0.7309592954011105, 0.04988321870440886, 0.1608700563927482
1652072090.5386682, 0.7651471846061515, 0.053865890203312845, 0.17222862469497258
1652072090.555244, 0.7679741230311548, 0.05831927845436695, 0.1849528070579507
1652072090.571933, 0.7067240898883451, 0.06150759693501678, 0.19315494143879489
1652072090.5889611, 0.741649162762311, 0.06504564484378773, 0.20372793698728103
1652072090.6052961, 0.7327377020090262, 0.07125547474336616, 0.21685326625944507
1652072090.621978, 0.7520648961079432, 0.07509051831886454, 0.22750345894891968
1652072090.6385732, 0.7399720057443201, 0.07843574567069275, 0.23755115126197007
1652072090.655236, 0.7399720057443201, 0.08182767282919097, 0.24810539318302735
1652072090.671942, 0.7097518943336908, 0.08630581432691045, 0.2587244777227332
1652072090.68863, 0.6505449088937753, 0.09168743130995897, 0.2662458936318572
1652072090.7052898, 0.7109247701115357, 0.09586225386399361, 0.27645966551514634
1652072090.7220569, 0.730862182892634, 0.10149216840673098, 0.2868032836751341
1652072090.7388039, 0.7783334830905477, 0.10732852318088995, 0.2973637568418104
1652072090.755951, 0.7437650328630572, 0.11139623815894739, 0.306556683239564
1652072090.7726421, 0.7454672083946646, 0.11852311356270293, 0.3136523089520715
1652072090.789135, 0.7109894680240135, 0.12136969375061347, 0.3221599112726821
1652072090.805529, 0.7193991050288933, 0.12644739503063107, 0.33160811829983006
1652072090.821865, 0.7451838041410326, 0.13205015887004914, 0.3400448504325822
1652072090.8386312, 0.7121671996775978, 0.13448328030573703, 0.3474805067869615
1652072090.855578, 0.7140611285316547, 0.13786559673916454, 0.35750062495309826
1652072090.8723822, 0.7418175698128954, 0.14115522024896504, 0.3653794100866555
1652072090.8895922, 0.7393476674596143, 0.14566222884565952, 0.37154946487806684
1652072090.905229, 0.7339638611478122, 0.15018666535238456, 0.3775801805654779
1652072090.9219441, 0.7226384157870547, 0.1550640636449249, 0.3860366341569336
1652072090.9385839, 0.7278987428577242, 0.15763702144439068, 0.3931032252265586
1652072090.95527, 0.7295820097247311, 0.16493692983927283, 0.39817244010858865
1652072090.9720712, 0.7822182269159171, 0.16978017372446932, 0.40700289021406494
1652072090.9886498, 0.7121379151040441, 0.17457598303439167, 0.41645805947050235
1652072091.005405, 0.6991048443701746, 0.17904607209303097, 0.42336491517674674
1652072091.02191, 0.7021177353486289, 0.18464196835882668, 0.4283844551957181
1652072091.038599, 0.7484103605989813, 0.18740134614477028, 0.43417768672487345
1652072091.0552769, 0.7677770078782505, 0.19112383035477692, 0.4417823658372481
1652072091.071872, 0.7358106514384785, 0.19642165637106634, 0.44677830349597947
1652072091.088536, 0.6897908743942375, 0.197595547366042, 0.4494818797522113
1652072091.1052198, 0.7552476920469761, 0.19990263686600848, 0.45620824023906825
1652072091.1217399, 0.7351697054318257, 0.20502414843891043, 0.46292150539609084
1652072091.13855, 0.7376884213006417, 0.20806122429991294, 0.47094697917925654
1652072091.155239, 0.7024069009991502, 0.2116024762939914, 0.4771651124090923
1652072091.171874, 0.7024069009991502, 0.21527872649686008, 0.4824104535379214
1652072091.188542, 0.7640261811929536, 0.2194430099797705, 0.4907725834988168
1652072091.205244, 0.7131005935676025, 0.22186971687206414, 0.4975071907757667
1652072091.221885, 0.759626311490797, 0.22930939535493045, 0.5034475940621053
1652072091.238614, 0.6999337209798193, 0.23318338014609938, 0.5080152702299695
1652072091.2552052, 0.7438741668822355, 0.23600841506555867, 0.5128676220386311
1652072091.2718801, 0.7208149434504719, 0.2418043729706901, 0.5177886687524822
1652072091.288666, 0.7330527489836889, 0.24577279348257716, 0.5211622938290261
1652072091.305265, 0.7059595425990786, 0.2521830440719386, 0.5265565446470276
1652072091.321949, 0.6652432016347881, 0.2558386195734865, 0.5317141701936023
1652072091.338688, 0.7057892222795376, 0.2588058298657279, 0.5343434330983822
1652072091.355764, 0.7386617412993127, 0.26044622181949595, 0.5386022792290152
1652072091.372153, 0.736387824888551, 0.2653658278679426, 0.5432259777613313
1652072091.3893209, 0.7464797043276992, 0.26918864024033595, 0.5467566704381904
1652072091.405261, 0.7035278225602539, 0.2732358920317471, 0.548430768712054
1652072091.422116, 0.712715183374886, 0.277297506174689, 0.5504203728030712
1652072091.439021, 0.736475672779978, 0.28208454993360593, 0.5537629118410451
1652072091.455326, 0.7313885878320583, 0.286163615890356, 0.5566724695836248
1652072091.4719481, 0.7577969892046055, 0.29093527216197995, 0.5592390601734293
1652072091.48857, 0.7195026022140427, 0.2958285217747382, 0.5636294882553745
1652072091.505262, 0.7742117716375051, 0.3005114149211292, 0.5698722065547313
1652072091.521891, 0.716181728541017, 0.30470462301196755, 0.5704345837502763
1652072091.53883, 0.7597051326448134, 0.30898342488192343, 0.5747792235403085
